Order No,Order Date,Customer Name,Address,City,State,Customer Type,Account Manager,Order Priority,Product Name,Product Category,Product Container,Ship Mode,Ship Date,Cost Price,Retail Price,Profit Margin,Order Quantity,Sub Total,Discount %,Discount $,Order Total,Shipping Cost,Total
5024-1,13-10-2014,Bart Watters,"Westfield 1 Anderson St,Chatswood",Sydney,NSW,Corporate,Nicholas Fernandes,Low,3Max Organizer Strips,Office Supplies,Small Box,Regular Air,15-10-2014,$3.40,$5.40,$2.00,42,$146.60,1%,$14.58,$134.01,$7.78,$143.72
5024-1,18-02-2013,Sean Wendt,"145 Ramsay St,Haberfield",Sydney,NSW,Corporate,Phoebe Gour,Medium,Multimedia Mailers,Office Supplies,Small Box,Regular Air,20-02-2013,$99.39,$162.93,$63.54,48,"$5,213.76",2%,$469.24,"$4,744.52",$19.99,"$4,764.51"
5024-1,09-12-2013,Dan Campbell,"1/173-179 Bronte Rd,Waverley",Sydney,NSW,Consumer,Leighton Forrest,High,Multimedia Mailers,Technology,Small Box,Express Air,09-12-2013,$99.39,$162.93,$63.54,40,"$4,099.50",3%,$419.00,"$4,795.52",$19.99,"$4,592.51"
5024-1,02-09-2014,Vivek Sundaresam,"152 Bunnerong Road,Eastgardens",Sydney,NSW,Consumer,Tina Carlton,Low,Smiths SlimLine Pencil Sharpener,Office Supplies,Wrap Bag,Express Air,04-09-2014,$4.79,$11.97,$7.18,41,$242.08,5%,$14.24,$230.51,$5.81,$233.95
5024-1,25-02-2014,Bebby Elias,"506 Swan Street,Richmond",Melbourne,VIC,Consumer,Connor Betts,High,"DrawIt Colored Pencils, 48-Color Set",Office Supplies,Small Box,Regular Air,26-02-2014,$21.56,$36.55,$14.99,22,$85.28,10%,$6.82,$78.46,$13.89,$79.44
5024-1,18-02-2013,Sean Wendt,"155 Ramsay St,Haberfield",Sydney,NSW,Corporate,Phoebe Gour,Critical,Multimedia Mailers,Office Supplies,Small Box,Express Air,20-02-2013,$99.39,$162.93,$63.54,47,"$5,213.76",9%,$469.24,"$4,744.52",$19.99,"$4,764.51"
5024-1,18-02-2013,Sean Wendt,"145 Ramsay St,Haberfield",Sydney,NSW,Consumer,Phoebe Gour,High,Multimedia Mailers,Office Supplies,Small Box,Express Air,20-02-2013,$99.39,$162.93,$63.54,50,"$5,213.76",7%,$469.24,"$4,744.52",$19.99,"$4,764.51"
5024-1,18-02-2015,Sandra Glassco,"224A Gertrude St,Fitzroy",Melbourne,VIC,Home Office,Connor Betts,Critical,Artisan Binder Labels,Technology,Medium Box,Regular Air,21-02-2015,$2.45,$3.89,$1.44,8,$66.36,9%,$3.96,$62.38,$7.01,$69.36
5025-1,08-06-2015,Jack OBriant,"85-113 Dunning Ave,Rosebery",Sydney,NSW,Corporate,Mihael Khan,Not Specified,Pizazz Dustless Chalk Sticks,Office Supplies,Small Box,Regular Air,09-06-2015,$1.09,$1.68,$0.59,1,$55.44,0%,$2.22,$53.22,$1.00,$54.22
5025-1,20-02-2013,Rick Reed,"Sydney Fish Market, Bank Street, Sydney",Sydney,NSW,Corporate,Phoebe Gour,Not Specified,Pizazz Dustless Chalk Sticks,Office Supplies,Small Box,Regular Air,22-02-2013,$1.09,$1.68,$0.59,34,$55.44,10%,$2.22,$53.22,$1.00,$54.22
5025-1,20-02-2013,Rick Reed,"Sydney Fish Market, Bank Street, Sydney",Sydney,NSW,Small Business,Phoebe Gour,Not Specified,Pizazz Dustless Chalk Sticks,Office Supplies,Small Box,Regular Air,22-02-2013,$1.09,$1.68,$0.59,18,$55.44,8%,$2.22,$53.22,$1.00,$54.22
5025-1,23-07-2015,Magdelene Morse,"53 Riley Street,Woolloomooloo",Sydney,NSW,Corporate,Tina Carlton,Not Specified,TechSavi Cordless Elite Duo,Office Supplies,Small Box,Regular Air,30-07-2015,$60.59,$100.98,$40.39,14,"$4,533.86",10%,$66.80,"$4,343.52",$7.18,"$4,371.54"
5025-1,20-02-2013,Rick Reed,"Sydney Fish Market, Bank Street, Sydney",Sydney,NSW,Home Office,Phoebe Gour,High,Pizazz Dustless Chalk Sticks,Office Supplies,Wrap Bag,Regular Air,22-02-2013,$1.09,$1.68,$0.59,29,$55.44,3%,$2.22,$53.22,$1.00,$54.22
5025-1,20-02-2013,Giulietta Dortch,"180 High Street,Windsor",Melbourne,VIC,Corporate,Connor Betts,Critical,Pizazz Dustless Chalk Sticks,Office Supplies,Small Box,Express Air,22-02-2013,$1.09,$1.68,$0.59,39,$55.44,7%,$2.22,$53.22,$1.00,$54.22
5025-1,17-08-2013,Valerie Dominguez,"152 Bunnerong Road,Eastgardens",Sydney,NSW,Home Office,Tina Carlton,High,1726 Digital Answering Machine,Office Supplies,Wrap Bag,Regular Air,17-08-2013,$8.82,$20.99,$12.17,16,$49.36,2%,$3.96,$48.66,$4.81,$44.56
5025-1,03-10-2013,Eric Barreto,"359 Crown Street,Surry Hills",Sydney,NSW,Corporate,Phoebe Gour,Critical,"Alto Parchment Paper, Assorted Colors",Office Supplies,Small Box,Regular Air,04-10-2013,$4.59,$7.28,$2.69,19,$533.72,4%,$36.53,$428.51,$11.15,$330.99
5025-1,12-09-2014,Gary Hansen,"273 George Street,Sydney",Sydney,NSW,Consumer,Leighton Forrest,Low,UGen Ultra Professional Cordless Optical Suite,Technology,Jumbo Drum,Delivery Truck,19-09-2014,$156.50,$300.97,$144.47,4,"$4,759.68",6%,$39.30,"$4,733.52",$7.18,"$4,740.51"
5025-1,30-07-2014,Denny Joy,"99 Lygon Street,East Brunswick",Melbourne,VIC,Consumer,Connor Betts,Not Specified,Smiths General Use 3-Ring Binders,Technology,Small Box,Regular Air,01-08-2014,$1.18,$1.88,$0.70,39,$35.70,9%,$3.51,$34.53,$1.49,$35.33
5026-1,21-05-2013,Kelly Lampkin,"310 Wattle St,Ultimo",Sydney,NSW,Corporate,Aanya Zhang,Medium,Binder Clips by OIC,Technology,Small Pack,Regular Air,23-05-2013,$0.93,$1.48,$0.55,16,$25.06,0%,$2.56,$22.60,$0.70,$24.29
5026-1,31-05-2013,Raymond Fair,"188 Pitt Street,Sydney",Sydney,NSW,Home Office,Tina Carlton,High,Artisan 479 Labels,Office Supplies,Wrap Bag,Express Air,02-06-2013,$1.59,$2.61,$1.02,41,$23.29,5%,$1.61,$22.29,$0.50,$22.69
5027-1,29-07-2013,Nick Zandusky,"224A Gertrude St,Fitzroy",Melbourne,VIC,Home Office,Connor Betts,Low,Artisan Binder Labels,Technology,Small Box,Regular Air,30-07-2013,$2.45,$3.89,$1.44,29,$542.12,4%,$41.26,$425.70,$7.01,$430.59
5027-1,13-01-2014,Ashley Jarboe,"180 High Street,Windsor",Melbourne,VIC,Small Business,Connor Betts,High,Artisan 479 Labels,Office Supplies,Small Box,Regular Air,18-01-2014,$1.59,$2.61,$1.02,45,$127.29,6%,$12.72,$122.76,$0.50,$123.17
5027-1,25-10-2013,Dan Campbell,"1/173-179 Bronte Rd,Waverley",Sydney,NSW,Consumer,Leighton Forrest,Medium,Apex Straight Scissors,Technology,Large Box,Regular Air,27-10-2013,$5.19,$12.98,$7.79,10,$530.60,1%,$43.56,$514.48,$3.14,$523.02
5027-1,13-10-2013,Sylvia Foulston,"152 Bunnerong Road,Eastgardens",Sydney,NSW,Small Business,Tina Carlton,High,Emerson Stylus 1520 Color Inkjet Printer,Office Supplies,Wrap Bag,Regular Air,13-10-2013,$75.00,$120.97,$45.97,31,$929.96,6%,$76.80,$825.36,$26.30,$744.63
5027-1,19-01-2016,Tamara Willingham,"Sydney Fish Market, Bank Street, Sydney",Sydney,NSW,Corporate,Phoebe Gour,Not Specified,TechSavi Access Keyboard,Office Supplies,Small Pack,Regular Air,19-01-2016,$10.07,$15.98,$5.91,4,$799.42,2%,$59.92,$770.46,$4.00,$784.64
5027-1,22-07-2013,Edward Becker,"501 George St,Sydney",Sydney,NSW,Corporate,Samantha Chairs,Critical,UGen Ultra Professional Cordless Optical Suite,Office Supplies,Small Pack,Regular Air,26-07-2013,$156.50,$300.97,$144.47,9,"$5,799.50",7%,$264.99,"$5,579.53",$7.18,"$5,550.43"
5027-1,22-02-2013,Bill Donatelli,"359 Crown Street,Surry Hills",Sydney,NSW,Home Office,Phoebe Gour,Low,"TypeRight  Top-Opening Peel & Seel  Envelopes, Gray",Office Supplies,Small Box,Regular Air,28-02-2013,$21.56,$35.94,$14.38,11,$723.84,1%,$50.67,$673.17,$6.66,$693.16
5028-1,19-06-2015,Fredhen Memon,"Shop 1, 186-190 Church Street,Parramatta;46a Macleay Street,Potts Point",Sydney,NSW,Corporate,Mihael Khan,Medium,Artisan Hi-Liter Smear-Safe Highlighters,Technology,Small Box,Regular Air,21-06-2015,$2.98,$5.84,$2.86,7,$34.46,1%,$2.24,$30.66,$0.83,$34.43
5028-1,09-10-2013,Frank Merwin,"260 Marrickville Rd,Marrickville",Sydney,NSW,Corporate,Nicholas Fernandes,Not Specified,Artisan 474 Labels,Furniture,Large Box,Regular Air,11-10-2013,$1.84,$2.88,$1.04,17,$26.62,0%,$0.17,$26.53,$0.99,$26.46
5029-1,23-02-2013,Giulietta Weimer,"48 Albion St,Surry Hills",Sydney,NSW,Home Office,Natasha Song,Medium,Artisan Printable Repositionable Plastic Tabs,Office Supplies,Small Pack,Regular Air,23-02-2013,$5.33,$8.60,$3.27,22,$412.80,7%,$0.00,$412.80,$6.19,$418.99
5029-1,02-06-2014,Arthur Gainer,"180 High Street,Windsor",Melbourne,VIC,Home Office,Connor Betts,High,Artisan 479 Labels,Technology,Medium Box,Regular Air,04-06-2014,$1.59,$2.61,$1.02,7,$209.90,3%,$0.00,$209.90,$0.50,$214.77
5029-1,23-02-2013,Giulietta Weimer,"48 Albion St,Surry Hills",Sydney,NSW,Corporate,Natasha Song,High,Artisan Printable Repositionable Plastic Tabs,Technology,Jumbo Drum,Delivery Truck,23-02-2013,$5.33,$8.60,$3.27,13,$412.80,4%,$0.00,$412.80,$6.19,$418.99
5029-1,12-11-2015,Michael Oakman,"8 Rankins Lane ,Melbourne",Melbourne,VIC,Corporate,Connor Betts,Not Specified,TypeRight Side-Opening Peel & Seel Expanding Envelopes,Office Supplies,Wrap Bag,Regular Air,14-11-2015,$54.29,$90.48,$36.19,40,"$4,564.22",10%,$377.64,"$4,113.59",$19.99,"$4,193.93"
5029-1,20-05-2013,Christy Brittain,"Shop 1, 186-190 Church Street,Parramatta;46a Macleay Street,Potts Point",Sydney,NSW,Corporate,Mihael Khan,Low,Artisan Printable Repositionable Plastic Tabs,Office Supplies,Small Box,Regular Air,22-05-2013,$5.33,$8.60,$3.27,19,$412.80,10%,$0.00,$412.80,$6.19,$418.99
5032-1,18-11-2013,Phillip Flathmann,"Macquarie Centre Cnr Herring Road & Waterloo Road,Macquarie Park",Sydney,NSW,Home Office,Nicholas Fernandes,Critical,"TypeRight  Top-Opening Peel & Seel Envelopes, Plain White",Office Supplies,Small Box,Regular Air,20-11-2013,$16.85,$27.18,$10.33,32,$632.36,6%,$68.76,$663.38,$8.23,$690.33
5032-1,16-12-2013,Henry Goldwyn,"541 Church St,Richmond",Melbourne,VIC,Corporate,Yvette Biti,Medium,Artisan 474 Labels,Office Supplies,Small Box,Regular Air,19-12-2013,$1.84,$2.88,$1.04,22,$127.92,1%,$10.16,$122.66,$0.99,$123.06
5033-1,25-02-2013,Katherine Ducich,"61A Bay Road,Wollstonecraft",Sydney,NSW,Small Business,Samantha Chairs,High,TypeRight Side-Opening Peel & Seel Expanding Envelopes,Office Supplies,Small Box,Regular Air,27-02-2013,$54.29,$90.48,$36.19,42,$271.44,5%,$8.14,$263.30,$19.99,$283.29
5034-1,05-06-2013,Deborah Brumfield,"501 George St,Sydney",Sydney,NSW,Small Business,Samantha Chairs,Medium,Artisan 474 Labels,Office Supplies,Small Box,Regular Air,05-06-2013,$1.84,$2.88,$1.04,32,$201.90,5%,$8.00,$193.54,$0.99,$199.04
5034-1,10-08-2015,Nora Price,"7 Khartoum Rd,Macquarie Park",Sydney,NSW,Small Business,Preston Senome,Medium,Ames Color-File Green Diamond Border X-ray Mailers,Technology,Small Box,Express Air,13-08-2015,$52.07,$83.98,$31.91,22,"$2,752.32",7%,$188.46,"$2,668.30",$5.01,"$2,692.15"
5034-1,23-09-2014,Grant Thornton,"98 Holdsworth Street,Woollahra",Sydney,NSW,Small Business,Natasha Song,Critical,Artisan 474 Labels,Technology,Small Box,Regular Air,25-09-2014,$1.84,$2.88,$1.04,45,$68.96,8%,$0.60,$68.96,$0.99,$73.46
5034-1,09-05-2013,Thea Hudgings,"240-242 Johnston Street,Fitzroy",Melbourne,VIC,Small Business,Connor Betts,Medium,Alto Memo Cubes,Office Supplies,Small Box,Regular Air,11-05-2013,$3.32,$5.18,$1.86,37,$91.06,1%,$7.30,$88.96,$2.04,$80.44
5034-1,13-05-2013,Alex Russell,"99 Lygon Street,East Brunswick",Melbourne,VIC,Home Office,Connor Betts,High,Alto Memo Cubes,Office Supplies,Small Box,Regular Air,15-05-2013,$3.32,$5.18,$1.86,35,$76.00,3%,$6.80,$59.66,$2.04,$70.46
5034-1,20-02-2013,Rick Reed,"Sydney Fish Market, Bank Street, Sydney",Sydney,NSW,Home Office,Phoebe Gour,High,Apex Straight Scissors,Office Supplies,Wrap Bag,Regular Air,22-02-2013,$5.19,$12.98,$7.79,16,$225.32,10%,$2.24,$221.20,$3.14,$233.76
5035-1,30-04-2013,Pamela Stobb,"273 George Street,Sydney",Sydney,NSW,Consumer,Leighton Forrest,Low,HFX LaserJet 3310 Copier,Technology,Small Box,Regular Air,02-05-2013,$377.99,$599.99,$222.00,35,"$2,065.80",5%,$54.07,"$2,759.75",$24.49,"$2,761.25"
5036-1,07-03-2013,Sean ODonnell,"541 Church St ,Richmond",Melbourne,VIC,Corporate,Yvette Biti,Medium,OIC Thumb-Tacks,Office Supplies,Small Box,Express Air,10-03-2013,$0.71,$1.14,$0.43,14,$57.00,2%,$3.42,$53.58,$0.70,$54.28
5036-1,07-03-2013,Sean ODonnell,"541 Church St ,Richmond",Melbourne,VIC,Corporate,Yvette Biti,Medium,OIC Thumb-Tacks,Furniture,Large Box,Express Air,10-03-2013,$0.71,$1.14,$0.43,14,$57.00,0%,$3.42,$53.58,$0.70,$54.28
5037-1,11-03-2013,Art Foster,"Westfield Parramatta,Parramatta",Sydney,NSW,Consumer,Stevie Bacata,High,Apex Elite Stainless Steel Scissors,Furniture,Small Pack,Regular Air,13-03-2013,$3.42,$8.34,$4.92,32,$133.44,8%,$4.00,$129.44,$2.64,$132.08
5037-1,29-06-2013,Adam Bellavance,"106 Ebley Street,Bondi Junction",Sydney,NSW,Home Office,Leighton Forrest,Not Specified,Apex Elite Stainless Steel Scissors,Office Supplies,Small Box,Regular Air,01-07-2013,$3.42,$8.34,$4.92,11,$133.44,7%,$4.00,$129.44,$2.64,$132.08
5037-1,04-07-2013,Sara Luxemburg,"103 Bins Street,Nindsor",Sydney,NSW,Home Office,Charlie Bui,Critical,Smiths SlimLine Pencil Sharpener,Office Supplies,Wrap Bag,Regular Air,05-07-2013,$4.79,$11.97,$7.18,10,$245.70,10%,$27.26,$222.10,$5.81,$243.29
5037-1,11-03-2013,Art Foster,"Westfield Parramatta,Parramatta",Sydney,NSW,Small Business,Stevie Bacata,High,Apex Preferred Stainless Steel Scissors,Office Supplies,Wrap Bag,Express Air,13-03-2013,$2.50,$5.68,$3.18,50,$133.44,9%,$4.00,$129.44,$3.60,$132.08
5038-1,16-03-2013,Christina Vanderzanden,"188 Pitt Street,Sydney",Sydney,NSW,Home Office,Tina Carlton,Medium,Smiths Standard Envelopes,Technology,Small Box,Regular Air,20-03-2013,$3.52,$5.68,$2.16,34,$139.24,2%,$9.68,$128.54,$1.39,$129.40
5039-1,15-03-2013,Michael Grace,"402 Argyle St,Moss Vale",Sydney,NSW,Small Business,Natasha Song,Low,"Alto Parchment Paper, Assorted Colors",Office Supplies,Wrap Bag,Express Air,16-03-2013,$4.59,$7.28,$2.69,37,$160.16,4%,$1.60,$158.56,$11.15,$169.71
5039-1,31-05-2013,Rick Duston,"144 Biutee Rd,Marrickville",Sydney,NSW,Consumer,Charlie Bui,High,Artisan 474 Labels,Office Supplies,Small Box,Regular Air,31-05-2013,$1.84,$2.88,$1.04,42,$130.66,0%,$10.56,$121.02,$0.99,$122.85
5039-1,07-08-2014,John Lucas,"188 Pitt Street,Sydney",Sydney,NSW,Corporate,Tina Carlton,Critical,"Alto Parchment Paper, Assorted Colors",Furniture,Large Box,Regular Air,09-08-2014,$4.59,$7.28,$2.69,44,$186.52,8%,$1.68,$168.06,$11.15,$169.71
5040-1,16-03-2013,Christina Vanderzanden,"188 Pitt Street,Sydney",Sydney,NSW,Consumer,Tina Carlton,High,"Steady Colorific Colored Pencils, 12/Box",Technology,Large Box,Regular Air,20-03-2013,$1.30,$2.88,$1.58,46,$138.24,7%,$9.68,$128.56,$1.01,$129.57
5040-1,16-03-2013,Christina Vanderzanden,"188 Pitt Street,Sydney",Sydney,NSW,Corporate,Tina Carlton,Critical,"Steady Colorific Colored Pencils, 12/Box",Technology,Small Box,Express Air,20-03-2013,$1.30,$2.88,$1.58,8,$138.24,5%,$9.68,$128.56,$1.01,$129.57
5040-1,16-03-2013,Christina Vanderzanden,"188 Pitt Street,Sydney",Sydney,NSW,Home Office,Tina Carlton,Medium,"Steady Colorific Colored Pencils, 12/Box",Office Supplies,Small Box,Regular Air,20-03-2013,$1.30,$2.88,$1.58,22,$138.24,2%,$9.68,$128.56,$1.01,$129.57
5040-1,16-03-2013,Christina Vanderzanden,"188 Pitt Street,Sydney",Sydney,NSW,Consumer,Tina Carlton,High,"Steady Colorific Colored Pencils, 12/Box",Technology,Small Pack,Express Air,20-03-2013,$1.30,$2.88,$1.58,32,$138.24,8%,$9.68,$128.56,$1.01,$129.57
5041-1,20-10-2015,Eva Jacobs,"Westfield 1 Anderson St,Chatswood",Sydney,NSW,Small Business,Nicholas Fernandes,Medium,Artisan Hi-Liter Smear-Safe Highlighters,Office Supplies,Small Box,Regular Air,24-10-2015,$2.98,$5.84,$2.86,48,$7.20,8%,$0.63,$7.64,$0.83,$10.71
5042-1,30-04-2013,Pamela Stobb,"273 George Street,Sydney",Sydney,NSW,Small Business,Leighton Forrest,Not Specified,Apex Straight Scissors,Office Supplies,Small Pack,Express Air,02-05-2013,$5.19,$12.98,$7.79,49,$623.22,4%,$56.09,$567.13,$3.14,$571.13
5042-1,25-06-2013,Karl Brown,"470 Anzac Parade,Kingsford",Sydney,NSW,Home Office,Tina Carlton,High,Alto Memo Cubes,Office Supplies,Small Box,Regular Air,26-05-2013,$3.32,$5.18,$1.86,30,$130.42,9%,$3.01,$128.43,$2.04,$129.03
5042-1,23-03-2013,Aaron Smayling,"1737 Botany Rd,Banksmeadow",Sydney,NSW,Small Business,Nicholas Fernandes,High,Assorted Color Push Pins,Office Supplies,Small Box,Regular Air,26-03-2013,$0.87,$1.81,$0.94,30,$61.10,3%,$2.34,$58.66,$0.75,$61.51
