Order No,Order Date,Customer Name,Address,City,State,Customer Type,Account Manager,Order Priority,Product Name,Product Category,Product Container,Ship Mode,Ship Date,Cost Price,Retail Price,Profit Margin,Order Quantity,Sub Total,Discount %,Discount $,Order Total,Shipping Cost,Total
5336-1,08-06-2015,Frank Price,"240-242 Johnston Street,Fitzroy",Melbourne,VIC,Home Office,Connor Betts,High,Smiths Metal Binder Clips,Office Supplies,Small Box,Regular Air,10-06-2015,$1.60,$2.62,$1.02,38,$41.45,4%,$2.24,$30.76,$0.80,$31.95
5337-1,12-10-2015,Bobby Trafton,"85-113 Dunning Ave,Rosebery",Sydney,NSW,Consumer,Mihael Khan,High,Apex Office Executive Series Stainless Steel Trimmers,Technology,Jumbo Drum,Delivery Truck,14-10-2015,$3.51,$8.57,$5.06,25,$141.32,2%,$5.73,$137.19,$6.14,$147.68
5338-1,26-07-2013,Tracy Blumstein,"Hoyts Entertainment Quarter 122 Lang Road,Moore Park",Sydney,NSW,Consumer,Tina Carlton,Low,"Artisan Flip-Chart Easel Binder, Black",Office Supplies,Small Box,Express Air,27-07-2013,$13.88,$22.38,$8.50,31,$90.06,0%,$10.68,$90.06,$15.10,$92.83
5338-1,11-12-2014,Marc Crier,"Westfield Sydney,Sydney",Sydney,NSW,Home Office,Natasha Song,Critical,Artisan 478 Labels,Technology,Small Box,Express Air,12-12-2014,$3.14,$4.91,$1.77,22,$89.90,10%,$5.96,$84.96,$0.50,$82.74
5339-1,29-07-2013,Nick Zandusky,"224A Gertrude St,Fitzroy",Melbourne,VIC,Small Business,Connor Betts,Medium,Artisan 487 Labels,Office Supplies,Wrap Bag,Regular Air,30-07-2013,$2.29,$3.69,$1.40,29,$149.50,7%,$4.49,$145.02,$0.50,$143.51
5339-1,14-03-2013,Sean ODonnell,"541 Church St ,Richmond",Melbourne,VIC,Home Office,Yvette Biti,Critical,Artisan Arch Ring Binders,Technology,Small Box,Regular Air,15-03-2013,$36.02,$58.10,$22.08,22,$574.50,10%,$0.00,$538.68,$1.49,$54.47
5339-1,21-10-2014,Philip Brown,"499-501 Lygon Street,Carlton North",Melbourne,VIC,Consumer,Yvette Biti,Not Specified,Artisan Poly Binder Pockets,Office Supplies,Small Box,Regular Air,21-10-2014,$2.26,$3.58,$1.32,39,$95.76,6%,$2.67,$82.89,$5.47,$87.38
5340-1,17-05-2014,Deborah Brumfield,"501 George St,Sydney",Sydney,NSW,Corporate,Samantha Chairs,Low,Artisan Non-Stick Binders,Office Supplies,Small Box,Regular Air,18-05-2014,$2.74,$4.49,$1.75,29,$69.52,3%,$0.00,$68.56,$1.49,$28.03
5340-1,10-12-2013,Eric Barreto,"359 Crown Street,Surry Hills",Sydney,NSW,Small Business,Phoebe Gour,Medium,Artisan 478 Labels,Office Supplies,Small Box,Regular Air,12-12-2013,$3.14,$1.98,$0.79,32,$51.93,10%,$0.00,$51.93,$4.76,$56.90
5340-1,29-06-2013,Cyma Kinney,"644 George St,Sydney",Sydney,NSW,Home Office,Radhya Staples,High,Artisan 477 Labels,Office Supplies,Small Box,Regular Air,04-07-2013,$3.14,$4.91,$1.77,38,$63.52,5%,$2.64,$62.68,$0.50,$63.59
5340-1,05-12-2013,Trudy Brown,"180 High Street,Windsor",Melbourne,VIC,Corporate,Connor Betts,Critical,Artisan 479 Labels,Office Supplies,Wrap Bag,Regular Air,07-12-2013,$1.59,$2.61,$1.02,22,$33.62,9%,$2.00,$30.68,$0.50,$31.82
5340-1,11-12-2013,Patrick Jones,"221 Barkly St,St Kilda",Melbourne,VIC,Small Business,Yvette Biti,Critical,Artisan Hi-Liter Pen Style Six-Color Fluorescent Set,Office Supplies,Wrap Bag,Regular Air,13-12-2013,$2.16,$3.85,$1.69,24,$51.93,7%,$0.00,$51.93,$0.70,$56.90
5340-1,11-12-2013,Patrick Jones,"221 Barkly St,St Kilda",Melbourne,VIC,Consumer,Yvette Biti,Low,Artisan 479 Labels,Office Supplies,Wrap Bag,Express Air,13-12-2013,$1.59,$2.61,$1.02,8,$51.93,5%,$0.00,$51.93,$0.50,$56.90
5340-1,30-06-2013,Clay Ludtke,"Macquarie Centre Cnr Herring Road & Waterloo Road,Macquarie Park",Sydney,NSW,Corporate,Nicholas Fernandes,Critical,Artisan Reinforcements for Hole-Punch Pages,Office Supplies,Small Box,Regular Air,04-07-2013,$1.19,$1.98,$0.79,32,$51.93,9%,$0.00,$51.93,$4.77,$56.90
5341-1,29-08-2013,Nancy Lomonaco,"523 King St,Newtown",Sydney,NSW,Home Office,Aanya Zhang,High,Artisan 48 Labels,Office Supplies,Wrap Bag,Regular Air,03-09-2013,$3.84,$6.30,$2.46,26,$119.24,3%,$4.64,$112.46,$0.50,$113.07
5341-1,01-11-2013,Kristina Nunn,"22 Civic Rd,Auburn",Sydney,NSW,Small Business,Mihael Khan,Critical,Smiths File Caddy,Office Supplies,Wrap Bag,Regular Air,02-11-2013,$4.03,$9.38,$5.35,8,$123.04,10%,$3.75,$122.75,$7.28,$126.75
5341-1,25-07-2015,Annie Thurman,"499-501 Lygon Street,Carlton North",Melbourne,VIC,Corporate,Yvette Biti,Low,Artisan 479 Labels,Office Supplies,Wrap Bag,Regular Air,26-07-2015,$1.59,$2.61,$1.02,33,$107.80,7%,$9.54,$106.82,$0.50,$109.00
5342-1,13-12-2013,Joseph Airdo,"Westfield Sydney,Sydney",Sydney,NSW,Corporate,Natasha Song,Critical,Artisan Hi-Liter Smear-Safe Highlighters,Office Supplies,Small Box,Regular Air,14-12-2013,$2.98,$5.84,$2.86,42,$19.56,7%,$0.20,$19.36,$0.83,$21.22
5342-1,13-12-2013,Ben Peterman,"2a/285A Crown St,Surry Hills",Sydney,NSW,Home Office,Phoebe Gour,Medium,Artisan Hi-Liter Pen Style Six-Color Fluorescent Set,Office Supplies,Small Pack,Regular Air,15-12-2013,$2.16,$3.85,$1.69,28,$19.56,3%,$0.20,$19.36,$0.70,$21.22
5342-1,13-12-2013,Joseph Airdo,"Westfield Sydney,Sydney",Sydney,NSW,Small Business,Natasha Song,Low,"Artisan Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",Office Supplies,Wrap Bag,Regular Air,14-12-2013,$4.48,$8.14,$3.66,22,$19.56,10%,$0.20,$19.36,$3.12,$21.22
5342-1,13-12-2013,Carol Triggs,"644 George St,Sydney",Sydney,NSW,Home Office,Radhya Staples,Low,Artisan Hi-Liter Pen Style Six-Color Fluorescent Set,Technology,Large Box,Regular Air,22-12-2013,$2.16,$3.85,$1.69,25,$19.56,7%,$0.20,$19.36,$0.70,$21.22
